Metadata_hour,Metadata_treatment,ImageNumber,ObjectNumber,reduced_feature
6,A,34,2,-1.0185743141371624
6,A,34,3,0.9790168248292633
6,A,34,4,-0.009000452515487282
6,A,34,5,-0.5347449954440611
6,A,34,6,1.2812773611512909
6,A,35,1,-0.43393006544655166
6,A,35,2,-0.6308548436072986
6,A,35,3,0.10700185596659231
6,A,35,4,-0.17943599182909845
6,A,35,5,-0.726299650353922
6,A,35,6,-0.17702020963113155
6,A,35,7,0.7615479096759225
6,A,35,8,-0.9750346962653536
6,A,36,1,-0.7844113787144924
6,A,36,2,-1.0339246685231316
6,A,36,3,-0.10264402774933544
6,A,36,4,-0.8450160095875594
6,A,36,5,1.1955207026098362
6,A,36,6,0.14424639892472313
6,A,36,7,-0.23764285055389814
6,A,37,1,1.1574208258888656
6,A,37,2,-0.7452982293546135
6,A,37,3,0.802620658072499
6,A,37,4,1.1674880164665145
6,A,37,5,-0.028597116896710722
6,A,38,1,0.7739344117115146
6,A,38,2,1.1369122823730238
6,A,38,3,-0.7518264326646045
6,A,38,4,1.4277174939041777
6,A,39,1,1.347042436910099
6,A,39,2,1.0712781134577736
6,A,39,3,1.5741022815271979
6,A,40,1,0.6157550929229747
6,A,40,2,0.12479674431944107
6,A,40,3,0.12892501671609982
6,A,40,4,1.051667951040188
6,A,40,5,0.8362012600269783
